Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments,Seed
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.9113431342303,-20.2275842419653,-18.6200234716904,9.00394520340299,9.74138679412863,11.7219219795441,-32.9956556132597,-31.4693983655756,-30.1295915181501,0,383.580751406,"Offline NN-DPD with fixed weights",9
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.9146332844708,-20.2247688603686,-18.6442381924259,9.00053522196403,9.74454480873831,11.6892888476068,-32.9956626234054,-31.4371558137815,-30.1432400765123,5,392.325183771,"Online NN-DPD adaptation",9
S5,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.35754734817171,-3.87795714769229,-3.5740080485613,60.5511830188796,63.9885313733679,66.2673490638258,-21.7752153359001,-18.4703444044889,-20.767905258265,0,3.554431113,"Variation de charge, désadaptation ou effet VSWR",9
S5,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-11.2708954653466,-11.4081184749784,-11.2672958970382,27.3183979236426,26.890202717148,27.3297214405165,-34.9031284780106,-34.2455824012265,-35.1614902255762,0,3.588538549,"Static MP-DPD baseline",9
S5,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-11.2223290858408,-11.3666382708037,-11.2273889384512,27.4715741528628,27.0189262861352,27.4555756031579,-34.7860643412565,-34.1484104706324,-35.0341375414199,0,3.600920068,"Static GMP-DPD baseline",9
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-11.3368136715157,-11.4496840947336,-11.2826265248121,27.1118601994794,26.7618292403602,27.2815269239796,-33.1074308951289,-32.2051038428898,-32.904026306436,0,399.315617935,"Offline NN-DPD with fixed weights",9
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-11.3368136721987,-11.4496840988409,-11.282626527363,27.1118601973474,26.7618292277053,27.2815269159676,-33.1074309118286,-32.2051037525752,-32.9040263142307,0,400.823552502,"Online NN-DPD adaptation",9
S6,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.02057321824076,-1.93821938100265,-0.306798654249847,56.1010951348129,79.9998238907352,96.529502363673,-21.9571375507105,-17.2935904915731,-12.0996870496486,0,3.645162152,"Dérive combinée thermique + puissance + mémoire + charge",9
S6,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-14.0417748080931,-13.9989436261546,-12.8009342183352,19.8568913540813,19.9550499259762,22.9062126977604,-34.5843121297986,-34.4999526494161,-29.9966012262552,0,3.682194563,"Static MP-DPD baseline",9
S6,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-13.938355982541,-13.9262214846694,-12.7889742719816,20.0947311864569,20.1228238618821,22.93777489625,-34.4802862827336,-34.4278767993137,-30.1111594412297,0,3.693232358,"Static GMP-DPD baseline",9
S6,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-13.9614383185632,-14.5590912063476,-12.8332176346904,20.0414012922319,18.7087787771298,22.8212336942955,-32.7784885168322,-32.4632422101759,-28.0116528917561,0,427.53018292,"Offline NN-DPD with fixed weights",9
S6,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-13.9614383196993,-14.5531075798575,-12.9848134698851,20.0414012896106,18.7216715166413,22.4263877353491,-32.7784885331603,-32.4742091309829,-28.0977876860043,4,436.590390874,"Online NN-DPD adaptation",9
S7,5GNR,256QAM,50,2.92256071356476,No_DPD,-4.13020895766456,-2.15480300232804,-0.376196766573427,62.1569294393013,78.0296843134545,95.7613283345868,-19.4915466625224,-14.2797380612832,-11.9341106505293,0,6.150078009,"Stress test 5G NR avec variation de bande, modulation et numérologie",9
S7,5GNR,256QAM,50,2.92256071356476,MP_DPD,-13.7554798457708,-13.4193218087792,-11.9682667280229,20.5222988549396,21.3321146704847,25.2108021178723,-34.8277295622026,-31.1393287263288,-27.1130442684506,0,6.203639207,"Static MP-DPD baseline",9
S7,5GNR,256QAM,50,2.92256071356476,GMP_DPD,-13.7105038621485,-13.4006288304763,-11.9731832447177,20.6288399743755,21.3780731352527,25.1965359619041,-35.1458252575543,-31.4224250214418,-27.1808273272789,0,6.220124075,"Static GMP-DPD baseline",9
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Static,-13.7094125272811,-13.9292858991303,-10.9343018509501,20.6314320389366,20.1157257063078,28.3978138125646,-30.8336488937839,-28.4865110886044,-23.3947622600013,0,534.242287257,"Offline NN-DPD with fixed weights",9
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Adaptive,-13.7094125271926,-13.9292858991303,-10.9343018509501,20.6314320391468,20.1157257063078,28.3978138125646,-30.833648893783,-28.4865110886044,-23.3947622600013,7,561.443870969,"Online NN-DPD adaptation",9
S8,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.02057321824076,-1.93821938100265,-0.306798654249847,56.1010951348129,79.9998238907352,96.529502363673,-21.9571375507105,-17.2935904915731,-12.0996870496486,0,9.681784512,"Optimisation de la politique d adaptation par RL ou heuristique",9
S8,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-14.0417748080931,-13.9989436261546,-12.8009342183352,19.8568913540813,19.9550499259762,22.9062126977604,-34.5843121297986,-34.4999526494161,-29.9966012262552,0,9.753565037,"Static MP-DPD baseline",9
S8,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-13.938355982541,-13.9262214846694,-12.7889742719816,20.0947311864569,20.1228238618821,22.93777489625,-34.4802862827336,-34.4278767993137,-30.1111594412297,0,9.798144541,"Static GMP-DPD baseline",9
S8,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-13.9614383185632,-14.5590912063476,-12.8332176346904,20.0414012922319,18.7087787771298,22.8212336942955,-32.7784885168322,-32.4632422101759,-28.0116528917561,0,440.861027204,"Offline NN-DPD with fixed weights",9
